               epoch,      train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss
67,0.033601,0.062505,0,0.87396,0.75659,0.82909,0.52359,0.032235,0.062653,0
68,0.033466,0.061824,0,0.87348,0.75707,0.82916,0.52366,0.03223,0.062656,0
69,0.033472,0.061503,0,0.8745,0.75673,0.82933,0.5238,0.032217,0.062642,0
70,0.03336,0.061882,0,0.87373,0.75735,0.82945,0.52398,0.032209,0.062629,0
71,0.033457,0.062205,0,0.87394,0.75735,0.82976,0.52416,0.032203,0.06262,0
72,0.033443,0.06181,0,0.87369,0.75761,0.82983,0.5241,0.032195,0.062622,0
73,0.033462,0.061865,0,0.87413,0.75773,0.82998,0.52445,0.032183,0.062608,0
74,0.033405,0.061676,0,0.8744,0.75762,0.83001,0.52467,0.032173,0.062602,0
75,0.033401,0.061455,0,0.87439,0.75785,0.83001,0.52472,0.032167,0.062603,0
76,0.03314,0.061098,0,0.87501,0.75777,0.83009,0.52487,0.032161,0.062601,0
77,0.033313,0.061838,0,0.87482,0.75774,0.83018,0.52511,0.032155,0.062608,0
78,0.033029,0.060683,0,0.87433,0.75817,0.83033,0.52523,0.03215,0.062611,0
79,0.033004,0.061389,0,0.87523,0.75804,0.83038,0.52521,0.032147,0.062616,0
80,0.033068,0.061586,0,0.87498,0.75841,0.83046,0.52538,0.032139,0.062627,0
81,0.033105,0.060877,0,0.87484,0.75829,0.83041,0.5254,0.032136,0.062617,0
82,0.032922,0.060581,0,0.87557,0.7578,0.83054,0.52565,0.032129,0.062619,0
83,0.032854,0.060458,0,0.87507,0.75793,0.83032,0.52569,0.032125,0.062611,0
84,0.032951,0.06106,0,0.87535,0.75775,0.83043,0.52587,0.032122,0.062614,0
85,0.032874,0.060827,0,0.8757,0.75767,0.83056,0.52588,0.032117,0.062617,0
86,0.032772,0.06056,0,0.87577,0.7578,0.83043,0.52585,0.032114,0.062617,0
87,0.032916,0.060898,0,0.87538,0.75804,0.83048,0.52612,0.032114,0.062624,0
88,0.032834,0.060487,0,0.87551,0.75807,0.83067,0.52625,0.032111,0.06263,0
89,0.032725,0.060271,0,0.87515,0.75847,0.8306,0.52638,0.032105,0.062628,0
90,0.032671,0.060219,0,0.87551,0.75807,0.83075,0.52655,0.032099,0.062637,0
91,0.032657,0.060756,0,0.87551,0.75842,0.83085,0.52661,0.032097,0.062635,0
92,0.032552,0.059977,0,0.87535,0.75868,0.83097,0.52677,0.032092,0.062649,0
93,0.03259,0.060278,0,0.87518,0.75919,0.83112,0.5269,0.032089,0.062656,0
